trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
461 @ 2023-12-26-14-17-45.json,1,1,mouseup,//*[@id='Q1N2EBY'],,text,,,input,,32.00
461 @ 2023-12-26-14-17-45.json,3,3,keystroke,//*[@id='Q1N2EBY'],,text,,,input,,32.00
461 @ 2023-12-26-14-17-45.json,5,5,mouseup,//*[@id='save-button'],,,,,button,Save,
461 @ 2023-12-28-09-48-06.json,1,1,mouseup,//*[@id='YXWB8QQ'],,text,,,input,,32.00
461 @ 2023-12-28-09-48-06.json,3,3,mouseup,//*[@id='YXWB8QQ'],,text,,,input,,32.00
461 @ 2023-12-28-09-48-06.json,5,5,mouseup,//*[@id='YXWB8QQ'],,text,,,input,,32.00
461 @ 2023-12-28-09-48-06.json,7,7,keystroke,//*[@id='YXWB8QQ'],,text,,,input,,32.00
461 @ 2023-12-28-09-48-06.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/div[1]/button[1]/span,,,,,span,Save,
461 @ 2024-01-07-01-13-59.json,1,1,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div/div/div/div[2]/div[1]/div/fieldset,,,,,fieldset,"Enable Product\n Attribute Set\nTop\n Product Name\n SKU\n \n Price\n$\nAdvanced Pricing\n Tax Class\nNone\nTaxable Goods\n \n Quantity\nAdvanced Inventory\n Stock Status\nIn Stock\nOut of Stock\n \n Weight\nlbs\n	\nThis item has weight\nThis item has no weight\n \n Categories\nHoodies & Sweatshirts\n	\nNew Category\n Visibility\nNot Visible Individually\nCatalog\nSearch\nCatalog, Search\n \n Set Product as New From\nundefined\n	\n To\nundefined\n Country of Manufacture\nAfghanistan\nAlbania\nAlgeria\nAmerican Samoa\nAndorra\nAngola\nAnguilla\nAntarctica\nAntigua & Barbuda\nArgentina\nArmenia\nAruba\nAustralia\nAustria\nAzerbaijan\nBahamas\nBahrain\nBangladesh\nBarbados\nBelarus\nBelgium\nBelize\nBenin\nBermuda\nBhutan\nBolivia\nBosnia & Herzegovina\nBotswana\nBouvet Island\nBrazil\nBritish Indian Ocean Territory\nBritish Virgin Islands\nBrunei\nBulgaria\nBurkina Faso\nBurundi\nCambodia\nCameroon\nCanada\nCape Verde\nCaribbean Netherlands\nCayman Islands\nCentral African Republic\nChad\nChile\nChina\nChristmas Island\nCocos (Keeling) Islands\nColombia\nComoros\nCongo - Brazzaville\nCongo - Kinshasa\nCook Islands\nCosta Rica\nCroatia\nCuba\nCuraçao\nCyprus\nCzechia\nCôte d’Ivoire\nDenmark\nDjibouti\nDominica\nDominican Republic\nEcuador\nEgypt\nEl Salvador\nEquatorial Guinea\nEritrea\nEstonia\nEswatini\nEthiopia\nFalkland Islands\nFaroe Islands\nFiji\nFinland\nFrance\nFrench Guiana\nFrench Polynesia\nFrench Southern Territories\nGabon\nGambia\nGeorgia\nGermany\nGhana\nGibraltar\nGreece\nGreenland\nGrenada\nGuadeloupe\nGuam\nGuatemala\nGuernsey\nGuinea\nGuinea-Bissau\nGuyana\nHaiti\nHeard & McDonald Islands\nHonduras\nHong Kong SAR China\nHungary\nIceland\nIndia\nIndonesia\nIran\nIraq\nIreland\nIsle of Man\nIsrael\nItaly\nJamaica\nJapan\nJersey\nJordan\nKazakhstan\nKenya\nKiribati\nKosovo\nKuwait\nKyrgyzstan\nLaos\nLatvia\nLebanon\nLesotho\nLiberia\nLibya\nLiechtenstein\nLithuania\nLuxembourg\nMacao SAR China\nMadagascar\nMalawi\nMalaysia\nMaldives\nMali\nMalta\nMarshall Islands\nMartinique\nMauritania\nMauritius\nMayotte\nMexico\nMicronesia\nMoldova\nMonaco\nMongolia\nMontenegro\nMontserrat\nMorocco\nMozambique\nMyanmar (Burma)\nNamibia\nNauru\nNepal\nNetherlands\nNew Caledonia\nNew Zealand\nNicaragua\nNiger\nNigeria\nNiue\nNorfolk Island\nNorth Korea\nNorth Macedonia\nNorthern Mariana Islands\nNorway\nOman\nPakistan\nPalau\nPalestinian Territories\nPanama\nPapua New Guinea\nParaguay\nPeru\nPhilippines\nPitcairn Islands\nPoland\nPortugal\nQatar\nRomania\nRussia\nRwanda\nRéunion\nSamoa\nSan Marino\nSaudi Arabia\nSenegal\nSerbia\nSeychelles\nSierra Leone\nSingapore\nSint Maarten\nSlovakia\nSlovenia\nSolomon Islands\nSomalia\nSouth Africa\nSouth Georgia & South Sandwich Islands\nSouth Korea\nSpain\nSri Lanka\nSt. Barthélemy\nSt. Helena\nSt. Kitts & Nevis\nSt. Lucia\nSt. Martin\nSt. Pierre & Miquelon\nSt. Vincent & Grenadines\nSudan\nSuriname\nSvalbard & Jan Mayen\nSweden\nSwitzerland\nSyria\nSão Tomé & Príncipe\nTaiwan, Province of China\nTajikistan\nTanzania\nThailand\nTimor-Leste\nTogo\nTokelau\nTonga\nTrinidad & Tobago\nTunisia\nTurkey\nTurkmenistan\nTurks & Caicos Islands\nTuvalu\nU.S. Outlying Islands\nU.S. Virgin Islands\nUganda\nUkraine\nUnited Arab Emirates\nUnited Kingdom\nUnited States\nUruguay\nUzbekistan\nVanuatu\nVatican City\nVenezuela\nVietnam\nWallis & Futuna\nWestern Sahara\nYemen\nZambia\nZimbabwe\nÅland Islands\n Activity\nHike\nOutdoor\nRunning\nWarmup\nYoga\nRecreation\nLounge\nGym\nClimbing\nCrosstraining\nPost-workout\nCycling\nAthletic\nSports\nHiking\nOvernight\nSchool\nTrail\nTravel\nUrban\n Style General\nInsulated\nJacket\nVest\nLightweight\nHooded\nHeavy Duty\nRain Coat\nHard Shell\nSoft Shell\nWindbreaker\n&frac12; zip\n&frac14; zip\nFull Zip\nReversible\nBra\nHoodie\nSweatshirt\nPolo\nTank\nTee\nPullover\nHoodie\nCardigan\nHenley\nTunic\nCamisole\n Material\nBurlap\nCocona&reg; performance fabric\nCanvas\nWool\nCotton\nFleece\nFaux Leather\nHemp\nJersey\nLeather\nLumaTech&trade;\nMesh\nLycra&reg;\nNylon\nMicrofiber\nPolyester\nRayon\nSpandex\nHeatTec&reg;\nRipstop\nEverCool&trade;\nSuede\nFoam\nOrganic Cotton\nMetal\nTENCEL\nCoolTech&trade;\nPlastic\nKhaki\nRubber\nLinen\nSynthetic\nStainless Steel\nWool\nSilicone\nTerry\n Sleeve\nSleeve\nLong-Sleeve\nShort-Sleeve\nSleeveless\nTank\nStrap\n Size\n55 cm\nXS\n65 cm\nS\n75 cm\nM\n6 foot\nL\n8 foot\nXL\n10 foot\n28\n29\n30\n31\n32\n33\n34\n36\n38\n Collar\nN/A\n? zip\nBoat Neck\nCrew\nFull zip\nV-neck\nBallet\nScoop\nHigh Collar\nStand Collar\nRoll Neck\nSquare Neck\n Pattern\nColor-Blocked\nChecked\nColor-Blocked\nGraphic Print\nSolid\nSolid-Highlight\nStriped\nCamo\nGeometric\n Climate\nAll-Weather\nCold\nCool\nIndoor\nMild\nRainy\nSpring\nWarm\nWindy\nWintry\nHot\n Color\nBlack\nBlue\nBrown\nGray\nGreen\nLavender\nMulti\nOrange\nPurple\nRed\nWhite\nYellow\n Eco Collection\n Performance Fabric\n Erin Recommends\n New\n Sale",
461 @ 2024-01-07-01-13-59.json,3,3,mouseup,//*[@id='OLNF62M'],,text,,,input,,27.00
