trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
622 @ 2023-12-31-15-54-23.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
622 @ 2023-12-31-15-54-23.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
622 @ 2023-12-31-15-54-23.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[16]/ul[1]/li[1]/a,,,,,a,relationship_advice,
622 @ 2023-12-31-15-54-23.json,7,7,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a,Submit,,,,a,Submit,
622 @ 2023-12-31-15-54-23.json,9,9,mouseup,//*[@id='submission_title'],,,,,textarea,,
622 @ 2023-12-31-15-54-23.json,11,11,keystroke,//*[@id='submission_title'],,,,,textarea,,
622 @ 2023-12-31-15-54-23.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
622 @ 2024-01-01-19-21-28.json,1,1,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a,Submit,,,,a,Submit,
622 @ 2024-01-01-19-21-28.json,3,3,mouseup,//*[@id='submission_title'],,,,,textarea,,
622 @ 2024-01-01-19-21-28.json,5,5,keystroke,//*[@id='submission_title'],,,,,textarea,,
622 @ 2024-01-01-19-21-28.json,7,7,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[5]/div/span[1]/span[1]/span[1]/span/span[1]/span/span[1],,,,,span,Choose one…,
622 @ 2024-01-01-19-21-28.json,9,9,keystroke,/html/body[1]/span[1]/span/span[1]/input,,search,,searchbox,input,,
622 @ 2024-01-01-19-21-28.json,11,11,mouseup,/span/span/span[2]/ul/li/span/span[1],,,,,span,relationship_advice,
622 @ 2024-01-01-19-21-28.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
622 @ 2024-01-03-21-19-24.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
622 @ 2024-01-03-21-19-24.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
622 @ 2024-01-03-21-19-24.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[17]/ul[1]/li[1]/a,,,,,a,relationship_advice,
622 @ 2024-01-03-21-19-24.json,7,7,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a/span[2],,,,,span,Submit,
622 @ 2024-01-03-21-19-24.json,9,9,mouseup,//*[@id='submission_title'],,,,,textarea,,
622 @ 2024-01-03-21-19-24.json,11,11,keystroke,//*[@id='submission_title'],,,,,textarea,,
622 @ 2024-01-03-21-19-24.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
622 @ 2024-01-03-21-19-24.json,15,15,mouseup,//*[@id='reply_to_submission_42_comment'],Comment,,,,textarea,,
622 @ 2024-01-03-21-19-24.json,17,17,keystroke,//*[@id='reply_to_submission_42_comment'],Comment,,,,textarea,,
622 @ 2024-01-03-21-19-24.json,19,19,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[3]/button,,,,,button,Post,
622 @ 2024-01-06-19-33-31.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
622 @ 2024-01-06-19-33-31.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
622 @ 2024-01-06-19-33-31.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[16]/ul[1]/li[1]/a,,,,,a,relationship_advice,
622 @ 2024-01-06-19-33-31.json,7,7,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a/span[2],,,,,span,Submit,
622 @ 2024-01-06-19-33-31.json,9,9,mouseup,//*[@id='submission_title'],,,,,textarea,,
622 @ 2024-01-06-19-33-31.json,11,11,keystroke,//*[@id='submission_title'],,,,,textarea,,
622 @ 2024-01-06-19-33-31.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
622 @ 2024-01-08-00-59-43.json,1,1,mouseup,/html/body[1]/nav[2]/div/header[1]/a,Home,,,,a,Postmill,
622 @ 2024-01-08-00-59-43.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
622 @ 2024-01-08-00-59-43.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[17]/ul[1]/li[1]/a,,,,,a,relationship_advice,
622 @ 2024-01-08-00-59-43.json,7,7,mouseup,/html/body[1]/nav[2]/div/ul[1]/li[2]/a,Submit,,,,a,Submit,
622 @ 2024-01-08-00-59-43.json,9,9,mouseup,//*[@id='submission_title'],,,,,textarea,,
622 @ 2024-01-08-00-59-43.json,11,11,keystroke,//*[@id='submission_title'],,,,,textarea,,
622 @ 2024-01-08-00-59-43.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/form[1]/div[7]/button,,,,,button,Create submission,
