trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
69 @ 2023-12-28-00-43-53.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
69 @ 2023-12-28-00-43-53.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
69 @ 2023-12-28-00-43-53.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[2]/ul[1]/li[2]/a,,,,,a,books,
69 @ 2023-12-28-00-43-53.json,7,7,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[2]/li/button[1],Sort by: Hot,button,,,button,Hot,
69 @ 2023-12-28-00-43-53.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[2]/li/ul[1]/li[4]/a,,,,,a,Top,
69 @ 2023-12-28-00-43-53.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[2]/li[2]/button[1]/span[2],,,,,span,Past 24 hours,
69 @ 2023-12-28-00-43-53.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[2]/li[2]/ul[1]/li[5]/a,,,,,a,All time,
69 @ 2023-12-28-00-43-53.json,15,15,scroll,,,,,,,,
69 @ 2024-01-02-21-55-07.json,1,1,mouseup,/html/body[1]/nav[2]/div/div[1]/ul[1]/li[1]/a,,,,,a,Forums,
69 @ 2024-01-02-21-55-07.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[1]/li[3]/a,,,,,a,Alphabetical,
69 @ 2024-01-02-21-55-07.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[2]/ul[1]/li[2]/a,,,,,a,books,
69 @ 2024-01-02-21-55-07.json,7,7,mouseup,/html/body[1]/div[2]/main[1]/nav[1]/ul[2]/li/button[1]/span[3],,,,,span,,
