trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
240 @ 2023-12-29-09-15-43.json,1,1,mouseup,/html/body[1]/div[2]/div[1]/div/div[2]/nav/ul/li[3]/a[1]/span[2],,,,,span,"Clothing, Shoes & Jewelry",
240 @ 2023-12-29-09-15-43.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[2]/div/div[2]/dl[1]/dd[1]/ol/li[4]/a,,,,,a,Sport Specific Clothing 265\nitem,
240 @ 2023-12-29-09-15-43.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[2]/div/div[2]/dl[1]/dd[1]/ol/li/a,,,,,a,Competitive Swimwear 55\nitem,
240 @ 2023-12-29-09-15-43.json,7,7,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2023-12-29-09-15-43.json,9,9,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2023-12-29-09-15-43.json,11,11,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2023-12-29-09-15-43.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[3]/ol/li[1]/div/div[1]/strong[1]/a,,,,,a,Women Cross Flower Beachwear Tankini Bandeau Bandage Bikini Set Push-Up Swimwear Bathing Suit Two Pieces Swimsuits,
240 @ 2024-01-01-16-15-01.json,1,1,mouseup,/html/body[1]/div[2]/div[1]/div/div[2]/nav/ul/li[3]/ul[1]/li[4]/ul[1]/li/a/span,,,,,span,Competitive Swimwear,
240 @ 2024-01-01-16-15-01.json,3,3,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2024-01-01-16-15-01.json,5,5,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2024-01-01-16-15-01.json,7,7,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2024-01-01-16-15-01.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[3]/ol/li[1]/div/div[1]/strong[1]/a,,,,,a,Women Cross Flower Beachwear Tankini Bandeau Bandage Bikini Set Push-Up Swimwear Bathing Suit Two Pieces Swimsuits,
240 @ 2024-01-08-03-34-34.json,1,1,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[3]/ol/li[1]/div/div[1]/strong[1]/a,,,,,a,"Kellogg's Special K Protein Meal Bars, Chocolate Caramel, 12.7oz (6 Count)",
240 @ 2024-01-08-03-34-34.json,3,3,mouseup,/html/body[1]/div[2]/div[1]/div/div[2]/nav/ul/li[3]/a[1]/span[2],,,,,span,"Clothing, Shoes & Jewelry",
240 @ 2024-01-08-03-34-34.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[2]/div/div[2]/dl[1]/dd[1]/ol/li[4]/a,,,,,a,Sport Specific Clothing 265\nitem,
240 @ 2024-01-08-03-34-34.json,7,7,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[2]/div/div[2]/dl[1]/dd[1]/ol/li/a,,,,,a,Competitive Swimwear 55\nitem,
240 @ 2024-01-08-03-34-34.json,9,9,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2024-01-08-03-34-34.json,11,11,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2024-01-08-03-34-34.json,13,13,mouseup,//*[@id='sorter'],,,,,select,Position\nProduct Name\nPrice,position
240 @ 2024-01-08-03-34-34.json,15,15,scroll,,,,,,,,
240 @ 2024-01-08-03-34-34.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[3]/ol/li[1]/div/div[1]/strong[1]/a,,,,,a,Women Cross Flower Beachwear Tankini Bandeau Bandage Bikini Set Push-Up Swimwear Bathing Suit Two Pieces Swimsuits,
