trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
133 @ 2023-12-28-13-05-32.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul/li[3]/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,a11yproject.com,
133 @ 2023-12-28-13-05-32.json,3,3,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/nav[1]/ul/li[1]/a,,,,,a,"2,320\n Commits",
133 @ 2023-12-28-22-04-03.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul/li[3]/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,a11yproject.com,
133 @ 2023-12-28-22-04-03.json,3,3,mouseup,//*[@id='js-onboarding-repo-link'],,,,,span,Repository,
133 @ 2023-12-28-22-04-03.json,5,5,mouseup,/html/body[1]/div[3]/aside[1]/div/ul[1]/li[3]/ul[1]/li[4]/a/span,,,,,span,Commits,
133 @ 2023-12-28-22-04-03.json,7,7,scroll,,,,,,,,
133 @ 2023-12-30-12-49-37.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul[1]/li[4]/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,a11yproject.com,
133 @ 2023-12-30-12-49-37.json,3,3,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/nav[1]/ul/li[1]/a,,,,,a,"2,320\n Commits",
133 @ 2024-01-08-12-54-32.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul[1]/li[2]/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,a11yproject.com,
133 @ 2024-01-08-12-54-32.json,3,3,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/nav[1]/ul/li[1]/a,,,,,a,"2,320\n Commits",
133 @ 2024-01-14-06-02-33.json,1,1,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/nav[1]/ul/li[1]/a,,,,,a,"2,320\n Commits",
133 @ 2024-01-14-06-02-33.json,3,3,mouseup,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
133 @ 2024-01-14-06-02-33.json,5,5,keystroke,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
133 @ 2024-01-14-06-02-33.json,7,7,keypress,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,a11yprojec
133 @ 2024-01-14-06-02-33.json,9,9,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[4]/div[1]/div/div/div/ul[1]/li/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,The A11Y Project /,
133 @ 2024-01-14-06-02-33.json,11,11,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/nav[1]/ul/li[1]/a,,,,,a,"2,320\n Commits",
133 @ 2024-01-14-06-02-33.json,13,13,scroll,,,,,,,,
