trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
317 @ 2023-12-31-17-14-06.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[3]/div[1]/ul[1]/li[3]/a,,,,,a,Explore,
317 @ 2023-12-31-17-14-06.json,3,3,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
317 @ 2023-12-31-17-14-06.json,5,5,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
317 @ 2023-12-31-17-14-06.json,7,7,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/div/ul[1]/li/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Administrator /,
317 @ 2023-12-31-17-14-06.json,9,9,mouseup,//*[@id='js-onboarding-repo-link'],,,,,span,Repository,
317 @ 2023-12-31-17-14-06.json,11,11,mouseup,/html/body[1]/div[3]/aside[1]/div/ul[1]/li[3]/ul[1]/li[7]/a/span,,,,,span,Contributors,
317 @ 2023-12-31-23-22-24.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[3]/div[1]/ul[1]/li[3]/a,,,,,a,Explore,
317 @ 2023-12-31-23-22-24.json,3,3,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
317 @ 2023-12-31-23-22-24.json,5,5,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
317 @ 2023-12-31-23-22-24.json,7,7,keypress,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,metaseq
317 @ 2023-12-31-23-22-24.json,9,9,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul[1]/li/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Administrator /,
317 @ 2023-12-31-23-22-24.json,11,11,mouseup,//*[@id='js-onboarding-repo-link'],,,,,span,Repository,
317 @ 2023-12-31-23-22-24.json,13,13,mouseup,/html/body[1]/div[3]/aside[1]/div/ul[1]/li[3]/ul[1]/li[7]/a,Contributors,,,,a,Contributors,
317 @ 2023-12-31-23-22-24.json,15,15,scroll,,,,,,,,
317 @ 2024-01-07-20-15-46.json,1,1,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
317 @ 2024-01-07-20-15-46.json,3,3,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
317 @ 2024-01-07-20-15-46.json,5,5,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/div/ul/li/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Byte Blaze /,
317 @ 2024-01-07-20-15-46.json,7,7,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/div/ul/li/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Byte Blaze /,
317 @ 2024-01-07-20-15-46.json,9,9,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/nav[1]/ul/li[1]/a,,,,,a,272\n Commits,
317 @ 2024-01-07-20-15-46.json,11,11,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/nav[1]/ul/li[1]/a,,,,,a,272\n Commits,
317 @ 2024-01-07-20-15-46.json,13,13,scroll,,,,,,,,
317 @ 2024-02-17-14-32-37.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[3]/div[1]/ul[1]/li[3]/a,,,,,a,Explore,
317 @ 2024-02-17-14-32-37.json,3,3,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
317 @ 2024-02-17-14-32-37.json,5,5,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
317 @ 2024-02-17-14-32-37.json,7,7,keypress,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,metaseq
317 @ 2024-02-17-14-32-37.json,9,9,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul[1]/li[1]/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Administrator /,
317 @ 2024-02-17-14-32-37.json,11,11,mouseup,/html/body[1]/div[3]/aside[1]/div/ul[1]/li[3]/a[1],Repository,,,,a,Repository,
317 @ 2024-02-17-14-32-37.json,13,13,mouseup,/html/body[1]/div[3]/aside[1]/div/ul[1]/li[3]/ul[1]/li[7]/a,Contributors,,,,a,Contributors,
317 @ 2024-02-17-14-32-37.json,15,15,scroll,,,,,,,,
