trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
285 @ 2024-01-02-19-53-59.json,1,1,mouseup,/html/body[1]/div[2]/header[1]/div[2]/div[2]/div[2]/form/div[1]/div[1]/div[2]/a,,,,,a,Advanced Search,
285 @ 2024-01-02-19-53-59.json,3,3,mouseup,//*[@id='name'],,text,,,input,,
285 @ 2024-01-02-19-53-59.json,5,5,keystroke,//*[@id='name'],,text,,,input,,
285 @ 2024-01-02-19-53-59.json,7,7,mouseup,//*[@id='description'],,text,,,input,,
285 @ 2024-01-02-19-53-59.json,9,9,keystroke,//*[@id='description'],,text,,,input,,
285 @ 2024-01-02-19-53-59.json,11,11,keypress,//*[@id='description'],,text,,,input,,switch
285 @ 2024-01-02-19-53-59.json,13,13,mouseup,//*[@id='sorter'],,,,,select,Product Name\nPrice,name
285 @ 2024-01-02-19-53-59.json,15,15,mouseup,//*[@id='sorter'],,,,,select,Product Name\nPrice,name
285 @ 2024-01-02-19-53-59.json,17,17,mouseup,//*[@id='sorter'],,,,,select,Product Name\nPrice,name
285 @ 2024-01-09-02-36-20.json,1,1,mouseup,//*[@id='sorter'],,,,,select,Product Name\nPrice\nRelevance,relevance
285 @ 2024-01-09-02-36-20.json,3,3,mouseup,//*[@id='search'],,text,Search entire store here...,combobox,input,,
285 @ 2024-01-09-02-36-20.json,5,5,keystroke,//*[@id='search'],,text,Search entire store here...,combobox,input,,
285 @ 2024-01-09-02-36-20.json,7,7,keypress,//*[@id='search'],,text,Search entire store here...,combobox,input,,switch card holder
285 @ 2024-01-09-02-36-20.json,9,9,scroll,,,,,,,,
285 @ 2024-01-09-02-36-20.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[2]/div/div[2]/dl[1]/dd[1]/ol/li[11]/a,,,,,a,Video Games 317\nitem,
285 @ 2024-01-09-02-36-20.json,13,13,mouseup,//*[@id='sorter'],,,,,select,Product Name\nPrice\nRelevance,relevance
285 @ 2024-01-09-02-36-20.json,15,15,mouseup,//*[@id='sorter'],,,,,select,Product Name\nPrice\nRelevance,relevance
285 @ 2024-01-09-02-36-20.json,17,17,mouseup,//*[@id='sorter'],,,,,select,Product Name\nPrice\nRelevance,relevance
285 @ 2024-01-09-02-36-20.json,19,19,scroll,,,,,,,,
285 @ 2024-01-09-02-36-20.json,21,21,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[2]/div[3]/div[1]/ul[1]/li[6]/a,,,,,a,Page\nNext,
285 @ 2024-01-09-02-36-20.json,23,23,scroll,,,,,,,,
285 @ 2024-01-09-02-36-20.json,25,25,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[2]/div[3]/div[1]/ul[1]/li[7]/a,,,,,a,Page\nNext,
285 @ 2024-01-09-02-36-20.json,27,27,scroll,,,,,,,,
