trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
393 @ 2023-12-30-17-40-03.json,1,1,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
393 @ 2023-12-30-17-40-03.json,3,3,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
393 @ 2023-12-30-17-40-03.json,5,5,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/div/ul/li/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,empathy-prompts,
393 @ 2023-12-30-17-40-03.json,7,7,mouseup,//*[@id='js-onboarding-mr-link'],,,,,span,Merge requests,
393 @ 2023-12-30-17-40-03.json,9,9,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/ul/li[1]/div[2]/div[1]/div[1]/span/a,,,,,a,Fix broken link,
393 @ 2023-12-30-17-40-03.json,11,11,scroll,,,,,,,,
393 @ 2023-12-30-17-40-03.json,13,13,mouseup,//*[@id='note-body'],Comment,,Write a comment or drag your files here…,,textarea,,
393 @ 2023-12-30-17-40-03.json,15,15,keystroke,//*[@id='note-body'],Comment,,Write a comment or drag your files here…,,textarea,,
393 @ 2023-12-30-17-40-03.json,17,17,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/div[2]/div[3]/div[2]/div/section/div/div[4]/div[2]/ul/li/div/div/form/div[2]/div[1]/button[1]/span,,,,,span,Comment,
393 @ 2023-12-31-21-22-18.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul[1]/li[4]/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,empathy-prompts,
393 @ 2023-12-31-21-22-18.json,3,3,mouseup,//*[@id='js-onboarding-mr-link'],,,,,span,Merge requests,
393 @ 2023-12-31-21-22-18.json,5,5,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/ul/li[1]/div[2]/div[1]/div[1]/span/a,,,,,a,Fix broken link,
393 @ 2023-12-31-21-22-18.json,7,7,scroll,,,,,,,,
393 @ 2023-12-31-21-22-18.json,9,9,mouseup,//*[@id='note-body'],Comment,,Write a comment or drag your files here…,,textarea,,
393 @ 2023-12-31-21-22-18.json,11,11,keystroke,//*[@id='note-body'],Comment,,Write a comment or drag your files here…,,textarea,,
393 @ 2023-12-31-21-22-18.json,13,13,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/div[2]/div[3]/div[2]/div/section/div/div[4]/div[2]/ul/li/div/div/form/div[2]/div[1]/button[1]/span,,,,,span,Comment,
393 @ 2024-01-06-17-33-46.json,1,1,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
393 @ 2024-01-06-17-33-46.json,3,3,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
393 @ 2024-01-06-17-33-46.json,5,5,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/div/ul/li/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,empathy-prompts,
393 @ 2024-01-06-17-33-46.json,7,7,mouseup,//*[@id='js-onboarding-mr-link'],,,,,span,Merge requests,
393 @ 2024-01-06-17-33-46.json,9,9,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/ul/li[1]/div[2]/div[1]/div[1]/span/a,,,,,a,Fix broken link,
393 @ 2024-01-06-17-33-46.json,11,11,scroll,,,,,,,,
393 @ 2024-01-06-17-33-46.json,13,13,mouseup,//*[@id='note-body'],Comment,,Write a comment or drag your files here…,,textarea,,
393 @ 2024-01-06-17-33-46.json,15,15,keystroke,//*[@id='note-body'],Comment,,Write a comment or drag your files here…,,textarea,,
393 @ 2024-01-06-17-33-46.json,17,17,mouseup,//*[@id='__BVID__153__BV_button_'],,button,,,button,Comment,
