trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
512 @ 2023-12-26-23-44-03.json,1,1,mouseup,//*[@id='search'],,text,Search entire store here...,combobox,input,,
512 @ 2023-12-26-23-44-03.json,3,3,keystroke,//*[@id='search'],,text,Search entire store here...,combobox,input,,
512 @ 2023-12-26-23-44-03.json,5,5,mouseup,/html/body[1]/div[2]/header[1]/div[2]/div[2]/div[2]/form/div[2]/button,Search,submit,,,button,Search,
512 @ 2023-12-26-23-44-03.json,7,7,scroll,,,,,,,,
512 @ 2023-12-26-23-44-03.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[2]/div[2]/ol/li[1]/div/div[1]/div[2]/div/div[2]/a[1],Add to Wish List,,,button,a,Add to Wish List,
512 @ 2023-12-28-19-18-27.json,1,1,mouseup,//*[@id='search'],,text,Search entire store here...,combobox,input,,
512 @ 2023-12-28-19-18-27.json,3,3,keystroke,//*[@id='search'],,text,Search entire store here...,combobox,input,,
512 @ 2023-12-28-19-18-27.json,5,5,keypress,//*[@id='search'],,text,Search entire store here...,combobox,input,,toothpaste
512 @ 2023-12-28-19-18-27.json,7,7,scroll,,,,,,,,
512 @ 2023-12-28-19-18-27.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[2]/div[2]/ol/li[1]/div/div[1]/div[2]/div/div[2]/a[1],Add to Wish List,,,button,a,Add to Wish List,
512 @ 2024-01-07-20-42-29.json,1,1,mouseup,//*[@id='search'],,text,Search entire store here...,combobox,input,,
512 @ 2024-01-07-20-42-29.json,3,3,keystroke,//*[@id='search'],,text,Search entire store here...,combobox,input,,
512 @ 2024-01-07-20-42-29.json,5,5,keypress,//*[@id='search'],,text,Search entire store here...,combobox,input,,toothpaste
512 @ 2024-01-07-20-42-29.json,7,7,scroll,,,,,,,,
512 @ 2024-01-07-20-42-29.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[2]/div[2]/ol/li[1]/div/div[1]/div[2]/div/div[2]/a[1],Add to Wish List,,,button,a,Add to Wish List,
512 @ 2024-02-22-18-52-17.json,1,1,mouseup,/html/body[1]/div[2]/header[1]/div[1]/div/ul[1]/li[3]/a,,,,,a,Sign In,
512 @ 2024-02-22-18-52-17.json,3,3,mouseup,//*[@id='search'],,text,Search entire store here...,combobox,input,,
512 @ 2024-02-22-18-52-17.json,5,5,keystroke,//*[@id='search'],,text,Search entire store here...,combobox,input,,
512 @ 2024-02-22-18-52-17.json,7,7,keypress,//*[@id='search'],,text,Search entire store here...,combobox,input,,toothpaste
512 @ 2024-02-22-18-52-17.json,9,9,scroll,,,,,,,,
512 @ 2024-02-22-18-52-17.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div[1]/div[2]/div[2]/ol/li[1]/div/div[1]/div[2]/div/div[2]/a[1],Add to Wish List,,,button,a,Add to Wish List,
