trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
519 @ 2023-12-26-23-48-13.json,1,1,scroll,,,,,,,,
519 @ 2023-12-26-23-48-13.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div/div[1]/div[3]/div/a[1]/span,,,,,span,Add to Wish List,
519 @ 2023-12-28-19-42-44.json,1,1,scroll,,,,,,,,
519 @ 2023-12-28-19-42-44.json,3,3,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div/div[1]/div[3]/div/a[1]/span,,,,,span,Add to Wish List,
519 @ 2024-01-07-20-48-36.json,1,1,scroll,,,,,,,,
519 @ 2024-01-07-20-48-36.json,3,3,scroll,,,,,,,,
519 @ 2024-01-07-20-48-36.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div/div[1]/div[3]/div/a[1]/span,,,,,span,Add to Wish List,
519 @ 2024-02-22-19-06-38.json,1,1,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div/div[1]/div[3]/div/a[1]/span,,,,,span,Add to Wish List,
519 @ 2024-02-22-19-06-38.json,3,3,scroll,,,,,,,,
519 @ 2024-02-22-19-06-38.json,5,5,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div/div[1]/div[2]/form/div[1]/div/div[1]/div[1]/div[1]/div[1]/label[1]/span,,,,,span,American Flag in Eagle's Eye,
519 @ 2024-02-22-19-06-38.json,7,7,scroll,,,,,,,,
519 @ 2024-02-22-19-06-38.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div/div[1]/div[2]/form/div[1]/div/div[2]/div[1]/div[1]/div[1]/label[1]/span,,,,,span,iPhone 13 Mini(5.4 inch),
519 @ 2024-02-22-19-06-38.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/div[3]/div/div[1]/div[3]/div/a[1]/span,,,,,span,Add to Wish List,
