trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
4 @ 2023-12-25-15-38-31.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[7]/a[1]/span,,,,,span,REPORTS,
4 @ 2023-12-25-15-38-31.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[7]/div[1]/ul[1]/li[3]/ul/li[2]/div[1]/ul/li[2]/a/span,,,,,span,Bestsellers,
4 @ 2023-12-25-15-38-31.json,5,5,mouseup,//*[@id='sales_report_period_type'],,,,,select,Day\nMonth\nYear,day
4 @ 2023-12-25-15-38-31.json,7,7,mouseup,//*[@id='sales_report_period_type'],,,,,select,Day\nMonth\nYear,day
4 @ 2023-12-25-15-38-31.json,9,9,mouseup,//*[@id='sales_report_from'],,text,,,input,,
4 @ 2023-12-25-15-38-31.json,11,11,keystroke,//*[@id='sales_report_from'],,text,,,input,,
4 @ 2023-12-25-15-38-31.json,13,13,mouseup,//*[@id='sales_report_to'],,text,,,input,,
4 @ 2023-12-25-15-38-31.json,15,15,keystroke,//*[@id='sales_report_to'],,text,,,input,,
4 @ 2023-12-25-15-38-31.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/button/span,,,,,span,Show Report,
4 @ 2023-12-25-17-18-04.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[7]/a[1]/span,,,,,span,REPORTS,
4 @ 2023-12-25-17-18-04.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[7]/div[1]/ul[1]/li[3]/ul/li[2]/div[1]/ul/li[2]/a/span,,,,,span,Bestsellers,
4 @ 2023-12-25-17-18-04.json,5,5,mouseup,//*[@id='sales_report_period_type'],,,,,select,Day\nMonth\nYear,day
4 @ 2023-12-25-17-18-04.json,7,7,mouseup,//*[@id='sales_report_period_type'],,,,,select,Day\nMonth\nYear,day
4 @ 2023-12-25-17-18-04.json,9,9,mouseup,//*[@id='sales_report_from'],,text,,,input,,
4 @ 2023-12-25-17-18-04.json,11,11,keystroke,//*[@id='sales_report_from'],,text,,,input,,
4 @ 2023-12-25-17-18-04.json,13,13,mouseup,//*[@id='sales_report_to'],,text,,,input,,
4 @ 2023-12-25-17-18-04.json,15,15,keystroke,//*[@id='sales_report_to'],,text,,,input,,
4 @ 2023-12-25-17-18-04.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/button/span,,,,,span,Show Report,
4 @ 2023-12-25-17-18-04.json,19,19,scroll,,,,,,,,
4 @ 2024-01-05-02-01-20.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[7]/a[1]/span,,,,,span,REPORTS,
4 @ 2024-01-05-02-01-20.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[7]/div[1]/ul[1]/li[3]/ul/li[2]/div[1]/ul/li[2]/a,,,,,a,Bestsellers,
4 @ 2024-01-05-02-01-20.json,5,5,mouseup,//*[@id='sales_report_period_type'],,,,,select,Day\nMonth\nYear,day
4 @ 2024-01-05-02-01-20.json,7,7,mouseup,//*[@id='sales_report_period_type'],,,,,select,Day\nMonth\nYear,day
4 @ 2024-01-05-02-01-20.json,9,9,mouseup,//*[@id='sales_report_from'],,text,,,input,,
4 @ 2024-01-05-02-01-20.json,11,11,keystroke,//*[@id='sales_report_from'],,text,,,input,,
4 @ 2024-01-05-02-01-20.json,13,13,mouseup,//*[@id='sales_report_to'],,text,,,input,,
4 @ 2024-01-05-02-01-20.json,15,15,keystroke,//*[@id='sales_report_to'],,text,,,input,,
4 @ 2024-01-05-02-01-20.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/button/span,,,,,span,Show Report,
4 @ 2024-01-05-02-01-20.json,19,19,scroll,,,,,,,,
4 @ 2024-01-08-17-09-53.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[7]/a[1],,,,,a,REPORTS,
