trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
296 @ 2023-12-28-12-50-00.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[3]/div[1]/ul[1]/li[3]/a,,,,,a,Explore,
296 @ 2023-12-28-12-50-00.json,3,3,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
296 @ 2023-12-28-12-50-00.json,5,5,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
296 @ 2023-12-28-12-50-00.json,7,7,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/div/ul[1]/li[2]/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,PyTorch-GAN,
296 @ 2023-12-28-12-50-00.json,9,9,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[2]/div[2]/div[1]/div[3]/div/a[1]/span[1],,,,,span,Clone,
296 @ 2023-12-28-12-50-00.json,11,11,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[2]/div[2]/div[1]/div[3]/div/ul[1]/li[1]/div[1]/div[1]/button,Copy URL,button,,,button,,
296 @ 2023-12-30-15-17-42.json,1,1,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[3]/div[1]/ul[1]/li[3]/a,,,,,a,Explore,
296 @ 2023-12-30-15-17-42.json,3,3,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
296 @ 2023-12-30-15-17-42.json,5,5,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
296 @ 2023-12-30-15-17-42.json,7,7,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/div/ul[1]/li[3]/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Erik Linder-Norén /,
296 @ 2023-12-30-15-17-42.json,9,9,mouseup,//*[@id='clone-dropdown'],,,,,a,Clone,
296 @ 2023-12-30-15-17-42.json,11,11,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[2]/div[2]/div[1]/div[3]/div/ul[1]/li[1]/div[1]/div[1]/button/svg,,,,,svg,,
296 @ 2024-01-06-17-51-57.json,1,1,mouseup,//*[@id='dashboard_search'],"Search for projects, issues, etc.",search,"Search for projects, issues, etc.",,input,,GAN python impelmentation
296 @ 2024-01-06-17-51-57.json,3,3,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[3]/div[1]/ul[1]/li[3]/a,,,,,a,Explore,
296 @ 2024-01-06-17-51-57.json,5,5,mouseup,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
296 @ 2024-01-06-17-51-57.json,7,7,keystroke,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,
296 @ 2024-01-06-17-51-57.json,9,9,keypress,//*[@id='project-filter-form-field'],,search,Filter by name,,input,,gan
296 @ 2024-01-06-17-51-57.json,11,11,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul[1]/li[2]/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,PyTorch-GAN,
296 @ 2024-01-06-17-51-57.json,13,13,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[2]/div[2]/div[1]/div[3]/div/a[1]/span[1],,,,,span,Clone,
296 @ 2024-01-06-17-51-57.json,15,15,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[2]/div[2]/div[1]/div[3]/div/ul[1]/li[1]/div[1]/div[1]/button/svg/use,,,,,use,,
296 @ 2024-01-14-06-32-18.json,1,1,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[2]/div[2]/div[1]/div[3]/div/ul[1]/li[1]/div[1]/div[1]/button/svg,,,,,svg,,
296 @ 2024-01-14-06-32-18.json,3,3,mouseup,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
296 @ 2024-01-14-06-32-18.json,5,5,keystroke,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
296 @ 2024-01-14-06-32-18.json,7,7,keypress,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,ga
296 @ 2024-01-14-06-32-18.json,9,9,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[4]/div[1]/div/div/div/ul[1]/li[1]/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Erik Linder-Norén /,
296 @ 2024-01-14-06-32-18.json,11,11,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[2]/div[2]/div[1]/div[3]/div/a[1]/span[1],,,,,span,Clone,
296 @ 2024-01-14-06-32-18.json,13,13,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[2]/div[2]/div[1]/div[3]/div/ul[1]/li[1]/div[1]/div[1]/button/svg/use,,,,,use,,
