trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
661 @ 2023-12-25-09-45-59.json,1,1,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/form[1]/div[7]/button[1]/span,,,,,span,Create issue,
661 @ 2023-12-25-09-45-59.json,3,3,mouseup,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
661 @ 2023-12-25-09-45-59.json,5,5,keystroke,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
661 @ 2023-12-25-09-45-59.json,7,7,keypress,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,ChatGP
661 @ 2023-12-25-09-45-59.json,9,9,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[4]/div[1]/div/div/div/ul[1]/li/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Convex Eggtart /,
661 @ 2023-12-25-09-45-59.json,11,11,mouseup,//*[@id='js-onboarding-issues-link'],,,,,span,Issues,
661 @ 2023-12-25-09-45-59.json,13,13,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[3]/div/section[1]/div[2]/div/div[1]/a[1]/span,,,,,span,New issue,
661 @ 2023-12-25-09-45-59.json,15,15,keystroke,//*[@id='issue_title'],,text,,,input,,
661 @ 2023-12-25-09-45-59.json,17,17,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/form[1]/div[6]/button[1]/span,,,,,span,Create issue,
661 @ 2023-12-29-03-10-12.json,1,1,mouseup,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
661 @ 2023-12-29-03-10-12.json,3,3,keystroke,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
661 @ 2023-12-29-03-10-12.json,5,5,keypress,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,ChatGP
661 @ 2023-12-29-03-10-12.json,7,7,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[4]/div[1]/div/div/div/ul[1]/li/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Convex Eggtart /,
661 @ 2023-12-29-03-10-12.json,9,9,mouseup,//*[@id='js-onboarding-issues-link'],,,,,span,Issues,
661 @ 2023-12-29-03-10-12.json,11,11,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[3]/div/section[1]/div[2]/div/div[1]/a[1]/span,,,,,span,New issue,
661 @ 2023-12-29-03-10-12.json,13,13,keystroke,//*[@id='issue_title'],,text,,,input,,
661 @ 2023-12-29-03-10-12.json,15,15,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/form[1]/div[6]/button[1]/span,,,,,span,Create issue,
