trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
736 @ 2023-12-31-03-41-32.json,1,1,scroll,,,,,,,,
736 @ 2023-12-31-03-41-32.json,3,3,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul/li[10]/div[2]/div/div[1]/h2[1]/a/span[2],,,,,span,gimmiethat.space,
736 @ 2023-12-31-03-41-32.json,5,5,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[3]/ul/li[3]/a/span,,,,,span,Add LICENSE,
736 @ 2023-12-31-03-41-32.json,7,7,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/form/div[1]/div[1]/div[2]/div/div[2]/div/button[1],,button,,,button,Apply a template,
736 @ 2023-12-31-03-41-32.json,9,9,scroll,,,,,,,,
736 @ 2023-12-31-03-41-32.json,11,11,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/form/div[1]/div[1]/div[2]/div/div[2]/div/div[1]/div[2]/ul/li[15]/a,,,,,a,MIT License,
736 @ 2023-12-31-03-41-32.json,13,13,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/form/div[4]/button[1]/span,,,,,span,Commit changes,
736 @ 2023-12-31-03-41-32.json,15,15,mouseup,/html/body[1]/header[1]/div[1]/div/div[1]/div[1]/a[1]/svg/path[1],,,,,path,,
736 @ 2023-12-31-03-41-32.json,17,17,mouseup,/html/body[1]/div[3]/div/div[3]/main/div[5]/ul/li[7]/div[2]/div/div[1]/h2[1]/a/span[1],,,,,span,Byte Blaze /,
736 @ 2023-12-31-03-41-32.json,19,19,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[3]/ul/li[3]/a/span,,,,,span,Add LICENSE,
736 @ 2023-12-31-03-41-32.json,21,21,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/form/div[1]/div[1]/div[2]/div/div[2]/div/button[1],,button,,,button,Apply a template,
736 @ 2023-12-31-03-41-32.json,23,23,scroll,,,,,,,,
736 @ 2023-12-31-03-41-32.json,25,25,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/form/div[1]/div[1]/div[2]/div/div[2]/div/div[1]/div[2]/ul/li[15]/a,,,,,a,MIT License,
736 @ 2023-12-31-03-41-32.json,27,27,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[2]/form/div[4]/button[1]/span,,,,,span,Commit changes,
736 @ 2024-01-06-16-46-57.json,1,1,mouseup,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
736 @ 2024-01-06-16-46-57.json,3,3,keystroke,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
736 @ 2024-01-06-16-46-57.json,5,5,mouseup,/html/body[1]/header[1]/div[1]/div/div[2]/ul/li[1]/form/div[2]/div/div[2]/div/li[2]/a/div/p/div/span[1]/span[1]/b[13],,,,,b,p,
736 @ 2024-01-06-16-46-57.json,7,7,mouseup,/html/body[1]/div[3]/div[1]/div[3]/main/div[4]/div/div[3]/ul/li[1]/a/span[1],,,,,span,MIT License,
736 @ 2024-01-06-16-46-57.json,9,9,mouseup,//*[@id='search'],Search GitLab,search,Search GitLab,searchbox,input,,
