trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
768 @ 2023-12-31-04-23-22.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/a[1],,,,,a,CATALOG,
768 @ 2023-12-31-04-23-22.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/div[1]/ul[1]/li/div[1]/ul/li[1]/a/span,,,,,span,Products,
768 @ 2023-12-31-04-23-22.json,5,5,mouseup,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
768 @ 2023-12-31-04-23-22.json,7,7,keystroke,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
768 @ 2023-12-31-04-23-22.json,9,9,keypress,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,Cronus
768 @ 2023-12-31-04-23-22.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr[1]/td[4],,,,,td,Cronus Yoga Pant -33-Blue,
768 @ 2023-12-31-04-23-22.json,13,13,mouseup,//*[@id='HQV1NAB'],,text,,,input,,0
768 @ 2023-12-31-04-23-22.json,15,15,keystroke,//*[@id='HQV1NAB'],,text,,,input,,0
768 @ 2023-12-31-04-23-22.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/div[1]/button[1]/span,,,,,span,Save,
768 @ 2024-01-02-14-17-58.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/a[1]/span,,,,,span,CATALOG,
768 @ 2024-01-02-14-17-58.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/div[1]/ul[1]/li/div[1]/ul/li[1]/a/span,,,,,span,Products,
768 @ 2024-01-02-14-17-58.json,5,5,mouseup,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,Cronus Yoga Pant -33-Blue
768 @ 2024-01-02-14-17-58.json,7,7,keystroke,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,Cronus Yoga Pant -33-Blue
768 @ 2024-01-02-14-17-58.json,9,9,keypress,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,Cronus Yoga Pant -33-Blue
768 @ 2024-01-02-14-17-58.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr/td[4]/div,,,,,div,Cronus Yoga Pant -33-Blue,
768 @ 2024-01-02-14-17-58.json,13,13,mouseup,//*[@id='FKMG7L6'],,text,,,input,,0
768 @ 2024-01-02-14-17-58.json,15,15,keystroke,//*[@id='FKMG7L6'],,text,,,input,,0
768 @ 2024-01-02-14-17-58.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/div[1]/button[1]/span,,,,,span,Save,
768 @ 2024-01-06-12-16-24.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/a[1],,,,,a,CATALOG,
768 @ 2024-01-06-12-16-24.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/div[1]/ul[1]/li/div[1]/ul/li[1]/a/span,,,,,span,Products,
768 @ 2024-01-06-12-16-24.json,5,5,mouseup,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
768 @ 2024-01-06-12-16-24.json,7,7,keystroke,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
768 @ 2024-01-06-12-16-24.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[2]/div[1]/div[5]/button[1],Search,button,,,button,,
768 @ 2024-01-06-12-16-24.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr[1]/td[15]/a,Edit Cronus Yoga Pant -33-Blue,,,,a,Edit,
768 @ 2024-01-06-12-16-24.json,13,13,mouseup,//*[@id='FRL1O67'],,text,,,input,,0
768 @ 2024-01-06-12-16-24.json,15,15,keystroke,//*[@id='FRL1O67'],,text,,,input,,0
768 @ 2024-01-06-12-16-24.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/div[1]/button[1]/span,,,,,span,Save,
768 @ 2024-01-07-21-13-01.json,1,1,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr[2]/td[15]/a,Edit Cronus Yoga Pant -33-Blue,,,,a,Edit,
768 @ 2024-01-07-21-13-01.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/a[1]/span,,,,,span,CATALOG,
768 @ 2024-01-07-21-13-01.json,5,5,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/div[1]/ul[1]/li/div[1]/ul/li[1]/a,,,,,a,Products,
768 @ 2024-01-07-21-13-01.json,7,7,mouseup,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
768 @ 2024-01-07-21-13-01.json,9,9,keystroke,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
768 @ 2024-01-07-21-13-01.json,11,11,keypress,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,cronus yoga pant
768 @ 2024-01-07-21-13-01.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr[2]/td[15]/a,Edit Cronus Yoga Pant -33-Blue,,,,a,Edit,
768 @ 2024-01-07-21-13-01.json,15,15,mouseup,//*[@id='YTLOH4J'],,text,,,input,,0
768 @ 2024-01-07-21-13-01.json,17,17,mouseup,//*[@id='YTLOH4J'],,text,,,input,,0
768 @ 2024-01-07-21-13-01.json,19,19,keypress,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,cronus yoga pant
768 @ 2024-01-07-21-13-01.json,21,21,scroll,,,,,,,,
768 @ 2024-01-07-21-13-01.json,23,23,mouseup,//*[@id='FHNCPWW'],notice-FHNCPWW,,,,select,In Stock\nOut of Stock,0
768 @ 2024-01-07-21-13-01.json,25,25,mouseup,//*[@id='FHNCPWW'],notice-FHNCPWW,,,,select,In Stock\nOut of Stock,0
768 @ 2024-01-07-21-13-01.json,27,27,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/div[1]/button[1]/span,,,,,span,Save,
768 @ 2024-01-13-02-43-52.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/a[1]/span,,,,,span,CATALOG,
768 @ 2024-01-13-02-43-52.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/a[1],,,,,a,CATALOG,
768 @ 2024-01-13-02-43-52.json,5,5,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/div[1]/ul[1]/li/div[1]/ul/li[1]/a,,,,,a,Products,
768 @ 2024-01-13-02-43-52.json,7,7,mouseup,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
768 @ 2024-01-13-02-43-52.json,9,9,keystroke,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
768 @ 2024-01-13-02-43-52.json,11,11,keypress,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,Cronus yoga pant
768 @ 2024-01-13-02-43-52.json,13,13,scroll,,,,,,,,
768 @ 2024-01-13-02-43-52.json,15,15,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr[6]/td[4]/div,,,,,div,Cronus Yoga Pant -33-Blue,
768 @ 2024-01-13-02-43-52.json,17,17,mouseup,//*[@id='MB371FH'],,text,,,input,,0
768 @ 2024-01-13-02-43-52.json,19,19,keystroke,//*[@id='MB371FH'],,text,,,input,,0
768 @ 2024-01-13-02-43-52.json,21,21,mouseup,/html/body[1]/div[2]/main[1]/div[1]/div[3]/div/div/div[1]/button[1]/span,,,,,span,Save,
